y	running_acct	duration	payment	purpose	marital_and_gender	current_employ	age
1	4	6	4	3	2	3	28
1	3	36	2	3	3	3	24
0	1	12	2	0	2	3	24
1	3	12	2	3	4	3	23
1	4	24	2	3	3	4	32
1	4	12	2	3	3	4	31
1	4	24	2	3	1	5	36
1	4	24	4	9	3	3	27
1	2	12	4	1	3	2	44
1	4	18	2	9	3	4	34
1	4	48	3	3	3	4	37
1	4	9	2	4	2	2	23
1	4	18	4	0	2	2	30
1	1	30	0	9	3	2	25
1	4	30	4	3	2	3	33
1	4	9	2	9	2	4	27
1	4	36	2	9	3	4	31
1	4	12	2	0	3	5	50
1	4	24	2	3	3	5	31
1	2	36	2	6	3	4	32
1	3	21	2	0	2	3	28
1	4	24	2	3	3	3	29
1	2	36	2	6	4	3	27
1	2	48	2	0	2	4	24
1	4	24	2	0	3	2	54
1	4	12	2	3	3	3	25
1	4	33	4	1	3	4	35
1	4	6	4	0	3	4	45
1	4	18	4	2	2	3	28
1	4	12	2	3	3	4	35
1	4	48	1	9	2	3	27
1	4	30	2	3	3	5	30
1	4	28	1	1	3	2	40
1	3	18	1	3	3	4	49
1	1	24	2	2	2	2	30
1	1	21	2	0	3	4	24
1	2	18	2	9	3	5	33
1	1	12	2	3	3	3	20
1	2	15	2	3	3	2	23
1	2	48	1	0	3	1	36
1	4	9	2	3	3	5	35
1	3	4	2	0	3	2	29
1	1	24	1	2	3	3	22
1	1	24	1	2	3	3	22
1	3	6	4	0	3	3	74
1	2	9	2	0	3	2	35
1	3	10	2	0	3	2	37
1	4	10	2	1	2	2	31
1	3	6	2	0	4	2	27
1	1	47	2	0	2	2	35
1	4	10	2	0	3	5	45
1	1	18	1	3	3	2	36
1	3	30	4	3	3	5	49
1	4	24	3	1	3	4	35
1	4	27	3	1	3	3	27
1	1	18	2	2	3	3	28
1	4	24	4	3	2	3	43
1	1	18	2	0	3	3	35
1	4	14	3	0	3	3	27
1	4	21	2	9	2	5	36
1	2	48	1	9	3	4	30
1	4	24	2	3	3	5	36
1	4	6	0	3	4	5	39
1	4	39	2	1	3	5	45
1	1	30	2	1	1	3	40
0	2	12	2	0	4	4	25
1	1	24	2	3	2	5	55
1	4	21	2	2	3	5	50
1	1	24	2	3	3	5	64
1	4	4	2	2	2	2	23
1	4	39	2	1	3	3	24
1	4	15	4	3	4	3	47
1	4	60	2	0	3	5	42
1	4	18	2	9	2	3	24
1	4	18	4	3	3	5	32
1	4	6	1	3	3	5	45
1	4	24	2	1	2	4	23
1	4	18	4	3	3	3	24
1	4	24	3	2	3	3	35
1	2	15	2	5	2	3	25
1	4	21	2	1	3	3	26
1	2	18	3	0	3	5	43
1	2	18	3	5	3	3	44
1	4	12	2	3	3	5	38
1	4	36	2	3	3	5	28
1	4	36	4	1	3	5	38
1	3	15	2	9	3	4	26
1	1	15	3	2	2	5	27
1	4	10	4	2	2	2	23
1	1	10	2	3	3	5	52
1	4	5	2	9	3	4	74
1	4	15	2	2	3	2	27
1	4	11	4	0	2	2	35
1	3	10	2	2	2	2	23
1	4	9	2	2	3	5	20
1	4	12	2	3	2	2	34
1	4	22	2	3	3	5	40
1	2	9	2	3	3	3	37
1	4	36	2	0	3	5	36
1	4	12	4	2	2	2	22
1	4	15	1	3	3	5	34
1	4	6	2	1	3	3	50
1	4	36	3	2	2	4	40
1	4	6	2	5	4	4	23
1	4	24	2	2	3	5	53
1	4	24	2	1	3	5	35
1	4	12	1	8	2	3	35
1	4	15	2	3	2	5	54
1	2	21	4	9	3	4	27
1	1	24	2	3	2	3	28
1	3	9	2	3	1	5	49
1	3	6	3	3	2	2	29
1	3	12	2	2	2	3	46
1	4	12	2	1	2	2	20
1	2	21	3	0	1	3	47
1	1	21	2	3	2	2	29
1	4	6	2	0	2	1	54
1	1	6	4	3	3	5	52
1	4	9	2	3	3	3	32
1	4	9	2	0	3	5	51
1	4	15	3	3	4	3	33
1	4	12	4	6	3	2	37
1	4	15	2	2	2	3	20
1	4	6	4	3	3	3	34
1	2	6	3	9	1	5	31
1	4	15	3	2	2	4	30
1	4	36	2	1	2	3	30
1	4	9	2	2	2	2	22
1	4	6	3	9	3	3	34
1	2	12	2	2	2	2	19
1	4	18	3	3	4	1	34
1	1	12	1	8	4	5	45
1	3	24	2	3	3	4	25
1	3	24	2	2	2	2	26
1	4	9	4	3	3	3	33
0	3	9	2	3	2	3	28
1	4	24	2	0	4	5	41
1	1	6	2	2	3	3	36
1	4	6	1	0	3	3	26
1	1	21	2	3	2	2	28
1	4	54	0	1	3	3	39
1	4	12	4	3	3	5	65
1	4	48	4	1	3	5	38
1	4	6	4	0	2	3	41
1	2	24	2	0	3	2	26
1	1	6	2	0	3	2	41
1	4	15	2	1	3	5	45
1	4	24	1	9	3	4	40
1	3	12	2	3	4	3	24
1	4	15	4	3	3	3	31
1	4	6	0	0	3	3	35
1	4	10	2	0	3	3	40
1	4	12	2	3	2	3	28
1	4	11	2	9	1	5	28
1	1	10	4	2	2	2	27
1	4	10	2	0	3	3	31
1	4	24	4	0	2	5	37
1	4	10	2	0	3	3	35
1	3	6	4	0	3	5	46
1	4	18	2	0	3	4	32
1	4	18	4	3	3	5	33
1	4	24	4	6	2	3	33
1	4	18	4	3	2	3	26
1	4	6	4	3	2	4	24
1	4	22	2	0	2	4	25
1	4	24	3	0	4	5	54
1	1	24	2	2	3	2	24
1	1	9	4	5	3	5	48
1	1	10	4	0	3	4	49
1	4	10	2	1	3	3	32
1	4	12	2	1	3	4	55
1	4	30	4	3	3	5	40
1	1	24	1	1	2	3	22
1	4	18	4	1	3	1	38
1	4	9	2	0	3	3	26
1	4	12	4	0	2	4	51
1	4	10	2	3	3	3	38
1	4	10	2	6	3	5	46
1	3	10	4	0	3	5	63
1	1	12	4	0	3	3	30
1	4	12	4	6	3	3	32
1	4	10	4	2	4	3	26
1	4	24	2	0	2	4	34
1	4	48	4	9	1	5	46
0	1	12	4	0	2	3	29
1	4	6	2	3	3	5	42
1	4	36	4	1	3	5	42
1	1	24	2	1	3	3	63
1	4	10	4	0	3	5	32
1	3	18	2	0	2	5	23
1	4	15	4	0	2	5	59
1	4	12	4	0	3	5	61
1	1	12	2	2	2	2	22
1	4	6	4	2	4	3	27
1	4	9	2	2	2	3	26
1	4	12	2	3	3	3	37
1	4	12	0	2	3	5	34
1	3	24	2	3	2	3	57
1	2	12	0	8	3	3	31
1	1	15	2	0	2	3	28
1	1	24	2	2	1	3	24
1	1	24	2	9	4	3	21
1	4	24	4	3	3	5	34
1	2	24	4	1	2	5	29
1	1	6	2	4	2	2	27
1	4	21	3	2	3	4	34
1	1	27	2	3	3	3	27
0	1	12	0	5	3	4	28
1	2	27	3	1	3	5	30
1	2	15	2	5	3	3	22
1	4	30	4	3	3	4	36
1	1	18	2	2	2	2	22
1	1	21	2	2	2	4	26
1	4	60	4	0	3	5	63
1	2	9	2	0	4	3	22
1	4	42	4	2	3	3	36
1	2	9	2	3	3	3	24
0	2	9	2	2	2	3	30
1	4	24	2	0	3	3	43
1	3	10	2	4	3	3	37
1	1	24	2	1	2	5	26
1	4	15	2	1	3	4	33
1	3	12	4	0	3	1	66
1	3	6	4	6	2	3	50
1	4	15	4	3	3	3	35
1	4	24	2	2	3	3	25
1	2	9	2	3	2	5	25
1	2	24	3	3	3	2	33
1	4	12	2	3	3	3	30
1	4	12	3	1	4	3	41
1	2	12	2	0	3	4	32
1	2	27	2	9	2	2	32
1	2	12	2	9	3	4	39
1	1	6	2	1	2	1	23
1	4	24	2	3	2	2	26
1	4	18	2	3	3	2	32
1	2	48	2	10	3	1	40
1	4	15	2	1	3	3	30
1	2	9	2	9	4	3	27
1	2	18	2	9	4	2	36
1	4	42	2	3	4	4	29
1	4	13	2	3	2	1	64
1	4	24	3	9	3	3	32
1	4	12	4	3	3	5	35
1	4	24	3	9	3	3	44
1	4	12	4	3	3	5	42
1	4	28	4	3	3	5	29
1	4	11	4	3	2	1	57
1	4	24	4	1	3	3	27
1	4	18	4	3	3	3	29
1	1	15	4	2	3	5	44
1	4	12	2	3	4	3	28
1	2	11	4	0	2	3	40
1	2	16	4	0	3	1	68
1	4	12	2	0	2	5	52
1	4	15	4	3	3	5	46
1	4	12	4	3	3	5	52
1	2	39	3	6	3	4	32
0	2	9	4	6	2	5	34
1	1	12	2	6	2	3	23
1	2	9	2	0	2	3	33
1	4	30	4	3	2	4	26
0	4	12	3	5	3	5	55
1	2	15	4	9	3	3	27
1	2	18	4	9	4	3	28
1	4	12	4	9	3	5	57
1	4	7	3	3	3	5	36
1	4	15	4	6	2	3	31
1	4	6	3	3	2	3	24
1	1	27	4	9	3	5	43
1	2	18	4	9	4	1	40
1	4	21	4	2	2	2	23
1	4	27	3	9	3	4	26
1	1	39	4	2	3	4	30
1	4	15	2	3	4	3	40
1	4	12	4	3	3	5	56
1	4	12	2	2	3	3	50
1	4	6	4	3	3	5	36
1	4	12	2	3	2	3	21
1	4	36	2	1	3	3	32
1	2	9	2	3	2	3	66
0	2	12	2	3	3	3	66
1	1	20	2	2	3	4	39
1	2	10	2	0	3	1	70
1	2	24	4	6	2	2	24
1	1	14	2	0	3	1	22
1	2	60	3	3	3	3	27
1	2	20	3	10	3	3	29
1	2	18	2	9	3	3	35
1	2	24	3	2	3	2	29
1	4	12	2	1	4	2	26
1	2	20	2	1	1	1	60
1	2	18	4	2	3	1	40
1	4	15	2	1	2	2	23
0	1	28	2	0	3	3	45
1	2	12	2	0	2	1	24
1	3	12	2	2	2	5	55
1	2	12	2	1	3	3	30
1	4	15	2	0	2	5	35
1	2	36	2	3	3	4	24
1	4	12	2	6	3	5	47
1	4	18	2	2	3	3	47
1	4	24	2	3	3	5	25
1	4	36	2	9	3	5	37
1	4	15	2	2	2	4	33
1	3	36	2	3	3	5	31
1	4	24	2	8	4	2	27
1	4	18	2	2	3	5	47
1	4	24	2	3	3	2	25
1	4	12	4	6	2	5	57
1	2	18	2	5	2	1	67
1	4	27	2	5	3	5	48
1	2	18	2	2	2	4	40
1	4	24	3	9	3	3	32
1	4	12	4	2	3	5	49
1	4	12	4	2	2	4	35
1	4	12	4	9	2	3	27
1	4	18	4	2	1	2	35
1	2	18	4	2	2	5	37
1	4	12	2	9	4	3	26
1	4	12	2	0	3	2	45
1	4	18	2	3	3	2	33
1	4	12	4	2	3	5	42
1	1	18	0	9	3	4	31
1	4	24	4	3	4	5	46
1	1	12	4	1	3	5	54
1	4	24	2	3	4	4	26
1	4	6	2	3	4	4	29
1	4	24	4	1	3	4	43
1	4	12	4	0	2	1	38
1	1	12	2	3	4	5	35
1	4	24	2	0	4	2	28
1	4	24	4	0	4	4	27
1	4	6	2	3	3	4	51
1	4	24	4	5	1	3	33
1	4	24	2	1	3	4	38
1	4	6	4	3	4	5	30
1	4	12	4	3	2	5	38
1	4	24	4	1	3	3	46
1	4	24	4	2	3	5	33
1	1	6	2	0	3	5	43
1	4	6	4	0	4	3	24
1	4	6	2	6	2	2	56
1	2	24	4	0	1	2	37
1	2	30	2	2	4	2	22
1	4	15	2	0	2	4	20
1	2	24	2	3	3	2	29
1	2	24	3	9	3	4	36
0	4	36	2	6	3	3	37
0	4	24	2	3	2	2	44
0	4	36	4	2	2	2	23
0	4	36	2	2	2	3	28
0	4	36	2	2	2	1	26
1	4	6	2	3	2	3	29
1	4	18	2	3	2	2	21
1	2	12	4	1	3	1	34
1	4	36	4	3	2	3	31
1	1	12	2	3	4	3	40
1	2	12	2	3	2	4	27
1	4	18	2	3	3	3	32
1	4	18	4	3	2	3	25
1	4	4	4	3	3	4	42
1	4	24	4	1	3	4	43
1	3	12	2	3	2	3	44
1	1	18	4	3	4	4	32
1	1	18	2	3	2	2	27
1	2	24	2	3	2	5	20
1	4	4	4	0	2	4	37
1	4	4	4	0	3	4	42
1	4	7	4	3	3	5	46
1	2	18	0	2	2	3	33
0	2	9	2	3	2	2	22
1	2	48	2	3	3	4	41
0	2	12	2	2	3	3	37
1	2	18	4	2	2	2	27
1	4	4	4	3	3	4	42
1	2	8	2	9	4	2	26
1	2	30	2	3	2	3	26
1	3	10	4	3	3	4	27
1	2	12	2	0	4	3	22
1	4	12	4	2	2	4	37
1	2	12	2	0	3	4	30
1	4	12	4	6	3	4	49
1	4	12	2	0	4	3	27
1	4	10	2	8	2	4	40
1	2	11	2	2	2	2	20
1	4	33	3	9	2	3	26
1	2	48	0	0	2	2	30
1	3	12	2	2	2	2	33
1	4	24	2	1	2	1	26
1	2	14	2	9	4	5	35
1	4	20	4	0	1	2	44
1	4	18	4	1	3	4	27
0	2	60	2	0	2	2	24
1	3	24	2	3	2	5	47
1	4	30	3	9	3	3	26
1	2	24	3	3	2	4	23
1	2	36	3	9	3	4	31
1	4	6	4	0	2	3	52
1	4	12	4	2	3	5	43
1	4	48	2	3	3	4	37
1	3	12	2	0	3	2	26
1	4	36	2	6	3	3	35
1	2	26	2	1	3	2	30
1	2	30	1	2	3	3	34
1	2	36	2	1	3	3	35
1	2	48	0	9	3	3	48
0	1	36	2	2	3	5	42
0	1	12	2	6	3	3	40
0	1	33	4	2	2	3	23
0	1	42	2	3	2	4	30
0	1	24	1	3	3	4	24
0	1	24	2	2	1	1	33
0	4	24	2	3	3	5	31
0	1	12	2	4	2	1	22
0	1	12	2	2	3	5	53
1	1	24	2	1	3	4	34
1	1	18	4	0	3	5	36
1	1	36	2	2	3	3	37
1	1	18	2	3	2	4	25
1	2	12	2	2	2	2	34
1	1	12	2	2	3	3	27
1	1	8	4	10	3	5	51
0	1	36	4	2	2	2	23
0	1	24	1	0	2	1	29
1	1	30	0	2	1	3	32
1	1	36	4	2	3	3	28
1	1	12	2	2	3	3	38
1	1	21	4	0	3	5	65
1	1	30	2	3	3	5	39
0	1	36	2	2	3	4	29
0	1	36	2	1	3	3	26
1	4	24	4	2	3	4	30
1	1	6	2	0	2	1	75
1	1	12	2	2	3	3	21
0	1	36	2	2	3	5	41
1	1	15	4	2	1	3	25
1	2	6	3	2	3	1	35
1	1	6	4	0	2	4	37
1	1	48	2	1	3	4	26
1	2	24	2	2	3	5	30
0	2	12	2	0	2	2	23
1	1	12	2	2	1	3	42
1	1	12	2	2	2	3	30
1	1	15	2	2	2	2	46
1	1	24	2	1	3	1	29
1	1	12	2	0	2	3	29
1	1	30	4	1	3	5	38
1	1	18	2	0	3	4	30
0	1	30	2	2	1	2	31
1	2	12	4	0	3	4	47
1	4	24	2	1	1	3	48
1	4	24	4	10	3	1	27
1	1	12	4	1	3	5	66
1	1	12	2	2	3	3	29
1	1	24	4	1	3	1	75
1	1	6	4	2	3	1	36
1	4	12	2	0	3	1	38
1	4	18	4	3	3	5	46
1	4	6	2	8	3	1	36
1	1	12	2	2	2	1	55
1	1	15	4	2	2	3	25
1	1	42	2	2	3	4	45
1	1	24	2	2	3	3	28
1	1	36	2	2	3	1	30
1	1	36	2	0	3	4	39
1	1	24	2	2	3	2	22
0	1	12	4	2	3	5	60
1	1	13	4	9	3	2	28
1	1	20	4	2	2	5	24
1	1	24	4	1	3	5	63
1	1	36	4	2	4	3	46
1	3	42	0	9	1	2	33
1	1	24	4	1	2	5	44
0	1	48	4	1	2	5	58
1	4	24	4	6	3	5	54
1	1	36	2	10	1	1	43
1	4	24	4	3	3	5	52
1	4	48	3	3	3	5	32
1	2	30	3	9	3	5	41
1	2	18	2	9	3	3	34
1	2	24	2	2	2	3	48
1	2	6	2	3	3	5	38
1	2	12	2	8	3	5	38
1	4	24	4	3	3	5	53
1	2	48	3	9	3	3	38
1	2	18	3	9	3	5	42
0	2	24	4	3	3	2	38
1	2	6	2	3	2	3	64
1	2	7	2	3	3	3	35
1	2	6	2	3	4	2	26
1	2	8	2	3	3	3	33
1	2	12	2	3	3	4	29
1	2	12	3	3	4	3	20
1	2	6	2	3	3	5	28
1	1	8	4	0	3	5	47
1	2	12	2	3	2	3	49
1	2	7	2	3	2	2	45
1	2	13	4	3	3	2	23
1	2	18	2	3	4	3	25
1	2	7	2	3	3	3	34
1	2	13	2	3	2	2	23
1	2	18	2	3	4	5	32
1	2	18	2	3	2	3	26
1	2	8	2	3	2	4	44
1	2	12	2	3	4	2	26
1	3	6	4	0	1	5	28
1	1	9	4	3	3	3	25
1	2	18	4	3	2	5	48
1	2	15	4	3	3	4	35
1	2	6	2	3	4	4	28
1	2	10	1	3	3	3	23
1	2	12	2	3	4	5	40
1	2	20	3	1	3	4	36
1	2	15	4	3	3	5	50
1	1	12	2	3	3	3	24
1	4	24	4	2	3	4	40
1	2	10	2	2	1	3	31
1	2	36	1	4	2	2	29
1	3	18	2	2	2	2	45
0	1	24	2	3	2	3	32
1	4	60	2	3	2	4	21
1	1	12	2	0	4	3	27
1	2	6	2	5	4	2	22
1	4	15	3	1	2	2	46
1	4	12	2	2	3	3	24
1	4	60	3	3	3	4	21
1	3	12	3	0	2	3	36
1	4	24	2	3	4	3	28
1	2	45	4	1	3	1	27
1	1	24	4	3	2	5	57
0	1	36	2	1	3	5	47
1	2	36	4	1	3	3	34
1	1	18	3	6	2	3	23
1	1	30	2	2	2	5	57
1	1	6	4	3	3	5	67
1	4	15	2	4	3	4	36
1	3	24	4	2	3	5	20
1	2	30	4	0	3	5	36
0	1	48	1	9	2	4	37
1	4	48	4	6	3	3	31
1	4	24	2	0	2	5	62
1	1	42	4	5	3	1	65
1	4	36	4	9	3	5	36
1	4	9	4	6	2	5	41
1	4	6	2	0	3	3	26
1	4	36	0	5	3	3	27
1	1	48	2	6	3	4	50
0	4	24	2	9	3	3	54
0	2	18	2	2	2	2	27
0	2	72	2	3	4	3	24
0	2	48	3	6	3	5	50
1	3	15	2	6	3	5	40
1	4	21	3	1	3	3	28
1	4	36	3	1	3	4	31
1	1	24	2	2	3	3	27
1	2	18	2	1	4	3	21
1	4	21	2	0	2	4	31
1	4	12	2	0	3	5	39
1	4	36	4	1	3	3	30
1	2	60	3	3	3	3	27
1	2	42	1	1	3	1	55
1	4	60	2	0	3	3	34
1	4	15	4	1	3	5	23
1	1	15	2	0	2	1	23
1	1	36	2	1	3	5	42
1	4	6	2	4	1	3	62
1	2	9	2	3	3	5	37
1	4	18	4	3	3	3	46
1	2	15	2	5	3	5	38
1	2	20	0	1	4	5	31
1	4	12	2	2	2	4	31
1	4	12	2	3	1	4	61
0	1	24	2	2	4	3	20
1	4	30	4	1	3	5	63
1	4	30	2	1	2	4	24
1	4	6	2	2	4	3	21
1	2	24	2	1	3	5	36
1	4	24	4	5	3	5	44
1	2	9	2	6	2	4	67
1	3	24	2	2	1	5	51
1	2	36	3	0	3	5	30
0	1	9	2	0	3	3	28
0	2	9	4	6	3	5	32
0	2	24	2	1	2	2	28
0	2	6	2	0	3	1	23
0	1	15	0	0	3	5	33
0	1	24	4	0	3	5	60
0	1	12	0	0	3	3	48
0	2	30	2	0	2	3	24
0	2	36	4	0	1	2	27
0	2	48	2	3	3	4	28
0	1	18	2	3	3	3	65
0	4	21	0	0	2	3	29
0	2	60	2	6	3	3	42
0	4	24	3	0	3	5	47
0	4	9	2	3	3	4	22
0	2	39	4	3	3	4	25
0	4	18	4	0	3	3	32
0	2	9	1	0	3	4	29
0	1	15	2	4	2	3	24
0	1	24	2	3	3	1	30
0	1	9	2	0	3	2	27
0	1	18	2	4	4	3	47
0	1	36	2	0	3	4	24
0	1	36	3	9	3	4	24
0	1	36	2	0	2	2	34
0	2	18	3	2	1	5	40
0	1	6	4	2	1	3	44
0	2	18	4	3	4	3	33
0	4	15	2	6	3	3	40
0	2	30	4	2	3	4	49
0	1	24	3	3	4	2	48
0	2	36	2	0	3	5	57
0	2	6	1	6	2	2	24
0	1	12	1	3	1	3	29
0	4	24	2	3	3	5	35
0	2	6	1	0	2	2	32
0	2	15	3	5	4	3	61
0	2	24	0	9	3	3	36
0	2	24	4	2	2	2	25
0	2	15	0	0	2	2	26
0	3	15	2	3	2	2	25
0	1	24	1	2	1	2	55
0	1	12	2	6	2	2	53
0	3	30	3	9	3	5	66
0	2	36	0	9	3	5	61
0	3	18	2	2	3	3	34
0	3	21	4	6	1	2	33
0	1	24	2	0	2	5	29
0	3	24	2	0	3	4	38
0	1	24	2	0	2	3	35
0	1	24	2	0	2	4	32
0	1	24	2	0	2	3	25
0	2	18	2	0	2	3	33
0	1	12	2	0	4	3	23
0	1	24	2	0	2	2	24
0	2	18	0	0	2	2	28
0	1	60	3	9	3	5	63
0	1	24	2	2	3	5	39
0	1	6	1	6	2	5	35
0	2	48	2	9	3	3	23
0	1	60	2	9	3	5	36
0	4	18	2	5	2	2	23
0	1	18	2	3	2	3	24
0	2	9	1	1	2	5	74
0	4	18	3	2	2	4	22
0	3	10	2	0	2	5	48
0	1	12	2	0	3	4	26
0	2	8	2	2	2	3	24
0	4	9	2	2	2	2	19
0	2	48	2	3	3	4	27
0	1	36	3	6	3	3	29
0	1	24	2	3	1	2	32
0	1	21	2	3	2	3	25
0	1	24	3	3	2	2	29
0	2	6	3	0	3	1	47
0	2	48	0	9	3	4	34
0	1	12	4	0	3	5	43
0	2	12	2	5	3	3	30
0	2	48	2	3	2	3	22
0	2	36	0	3	2	3	42
0	4	36	3	3	3	3	26
0	4	36	3	9	3	2	27
0	3	36	2	3	3	3	26
0	4	6	2	2	2	2	32
0	2	24	2	1	2	3	23
0	4	18	0	9	3	3	36
0	2	24	2	2	1	4	43
0	4	18	1	0	3	5	39
0	4	12	2	0	2	3	26
0	1	36	2	6	3	5	40
0	2	18	4	2	3	2	31
0	4	12	2	2	2	3	29
0	2	24	2	10	3	3	29
0	2	24	4	10	3	3	39
0	2	27	4	3	3	3	23
0	2	30	3	3	3	2	30
0	2	60	1	10	2	5	60
0	2	36	2	3	2	3	50
0	2	36	2	6	3	3	47
0	2	45	2	3	3	3	21
0	1	12	1	3	2	3	24
0	2	24	4	9	1	5	31
0	3	24	4	0	3	4	37
0	4	18	2	2	4	2	43
0	1	48	2	0	3	4	46
0	1	24	1	2	3	2	30
0	1	36	2	3	1	3	31
0	1	42	2	3	3	2	34
0	1	12	2	3	4	2	33
0	4	48	2	9	1	3	38
0	1	48	2	9	2	2	24
0	2	12	2	3	4	2	23
0	4	18	4	0	3	4	31
0	1	40	4	6	3	3	27
0	3	15	4	3	3	3	39
0	2	12	2	0	2	2	25
0	2	36	2	1	4	2	28
0	2	12	2	2	2	2	27
0	2	24	2	0	2	2	25
0	1	48	2	4	3	3	54
